date,open,low,high,close,volume
2018-04-03,"2,225","2,200","2,530","2,349.9","2,112.97827267"
2018-04-04,"2,349.9","2,100","2,440.2","2,185.02","2,279.85428415"
2018-04-05,"2,234.98","2,123.03","2,272.95","2,163.9",594.63267686
2018-04-06,"2,198.92","2,083.79","2,198.93","2,171.9",994.43420054
2018-04-07,"2,170.56","2,109","2,189","2,132.08",320.27919739
2018-04-08,"2,132.2","2,125","2,230","2,228",460.22740531
2018-04-09,"2,228","2,090.33","2,248.8","2,103",991.30571208
2018-04-10,"2,102.06","2,080","2,141.89","2,117.67",877.46017826
2018-04-11,"2,112","2,090","2,189","2,149.99","1,145.89965052"
2018-04-12,"2,150","2,090","2,387","2,300","3,189.42482399"
2018-04-13,"2,301","2,250.35","2,449.99","2,300.98","2,266.2431202"
2018-04-14,"2,318","2,265.04","2,346","2,339.81",790.18063283
2018-04-15,"2,339.8","2,306.01","2,419","2,340.02","1,343.71511284"
2018-04-16,"2,341.15","2,255","2,378.09","2,355","1,061.12005441"
2018-04-17,"2,355","2,351.03","2,499","2,451.33","1,344.46610259"
2018-04-18,"2,450","2,430.15","2,581","2,555","1,444.99672931"
2018-04-19,"2,555","2,525.17","2,819.99","2,668.01","2,795.02948241"
2018-04-20,"2,670","2,620.85","2,939.99","2,820","2,062.82582689"
2018-04-21,"2,849.7","2,590","2,902.97","2,726.2","1,138.47017525"
2018-04-22,"2,711.6","2,697.15","2,849","2,760.15",962.26697385
2018-04-23,"2,769.73","2,756.07","3,100","3,075.3","2,139.31102659"
2018-04-24,"3,100","2,767.66","3,157.99","2,845","2,312.06928096"
2018-04-25,"2,772.09","2,638.01","2,990","2,799.94","2,146.82241374"
2018-04-26,"2,799.99","2,671.04","2,919.99","2,810.01",972.03035837
2018-04-27,"2,815","2,700","2,900","2,797.95",831.67627893
2018-04-28,"2,798.02","2,772","2,889.5","2,859.94",482.8333924
2018-04-29,"2,859.95","2,750","2,864.58","2,800.1",379.7946962
2018-04-30,"2,818.34","2,680.18","2,848.43","2,750.2","1,158.43403442"
2018-05-01,"2,701.06","2,690.02","2,819.99","2,797.9",523.92209198
2018-05-02,"2,799","2,766.21","2,898","2,890.89",681.71115676
2018-05-03,"2,890.44","2,820","3,059.98","2,942","2,424.48445036"
2018-05-04,"2,950","2,918.2","3,150","3,147.97","1,403.81658286"
2018-05-05,"3,147","3,111.03","3,346.99","3,256.08","1,980.83915226"
2018-05-06,"3,257.01","2,963.97","3,289","3,040","1,075.67099437"
2018-05-07,"3,040","2,959","3,189","3,130.01","1,220.55664241"
2018-05-08,"3,179.95","2,960","3,179.95","3,000.01","1,138.83160584"
2018-05-09,"3,026","2,970.51","3,126","3,067.01",830.75045695
2018-05-10,"3,114","2,827.78","3,120","2,927.89",965.90642884
2018-05-11,"2,927.89","2,603.01","2,927.97","2,679.03","1,719.20501288"
2018-05-12,"2,718.82","2,605","2,850","2,725.43",798.56847205
2018-05-13,"2,769.04","2,665.01","2,865","2,714",617.9678727
2018-05-14,"2,714","2,667.99","3,000","2,899",909.90140369
2018-05-15,"2,895.69","2,713.25","2,929.98","2,812.99",987.13287414
2018-05-16,"2,760.5","2,720.01","2,844.83","2,819.99",658.95892498
2018-05-17,"2,777","2,610.01","2,819.99","2,698.09","1,294.50783906"
2018-05-18,"2,704.48","2,630.01","2,798.99","2,770",495.04574908
2018-05-19,"2,769.99","2,680.01","2,772.53","2,765.99",308.55369843
2018-05-20,"2,710.67","2,701.52","2,820","2,784",270.13687333
2018-05-21,"2,749.05","2,645","2,780.98","2,680",521.39038471
2018-05-22,"2,679","2,538.82","2,694.99","2,545.33",810.77111637
2018-05-23,"2,545.33","2,325.01","2,577","2,449.81","2,021.08388731"
2018-05-24,"2,427","2,350.01","2,550","2,448.1","1,043.74793441"
2018-05-25,"2,433.1","2,322.99","2,440","2,341",528.61972301
2018-05-26,"2,370","2,319","2,434.98","2,325.02",359.81898917
2018-05-27,"2,350","2,325.01","2,398.99","2,337.09",208.75685716
2018-05-28,"2,356","2,165.02","2,386","2,185","1,037.34559654"
2018-05-29,"2,185","2,169.99","2,449.99","2,380",836.09187064
2018-05-30,"2,399","2,270.04","2,416.98","2,353",710.51034055
2018-05-31,"2,354","2,334","2,450","2,393.97",869.69717196
2018-06-01,"2,367.96","2,350.01","2,427.96","2,391",473.95083505
2018-06-02,"2,410","2,391","2,500","2,482",431.72752419
2018-06-03,"2,458","2,458","2,550","2,482.07",329.5357854
2018-06-04,"2,483","2,350","2,510","2,353",647.50057334
2018-06-05,"2,353","2,353","2,499","2,462",662.70769917
2018-06-06,"2,462","2,380.01","2,490","2,446",535.75119315
2018-06-07,"2,445.01","2,411.69","2,470","2,415.23",481.52122843
2018-06-08,"2,415","2,381.01","2,454.97","2,432.97",461.2922228
2018-06-09,"2,401.3","2,301.02","2,430","2,322",470.27882284
