date,open,low,high,close,volume
2016-06-05,244.08,244.08,257,245,109.43239507
2016-06-06,255.99,254.03,264,263.8,455.0793158
2016-06-07,263.8,257.11,276.13,276,428.51327964
2016-06-08,276,264.52,276.06,265,467.07263418
2016-06-09,274.98,263.02,275,263.03,156.77259723
2016-06-10,264,261,273.99,263.01,267.40545548
2016-06-11,260,260,273.5,273.5,131.34680552
2016-06-12,273.4,271.18,293.97,293.97,244.55891022
2016-06-13,293.97,293.97,360.65,359.94,"1,597.06792187"
2016-06-14,359.04,333,395.6,365,717.58426639
2016-06-15,365,334.08,365,362.98,667.00148973
2016-06-16,364.99,364.01,465,435.25,"1,256.8187115"
2016-06-17,415,252.91,430,268,"3,948.2194899"
2016-06-18,267.66,193.1,294,225,"1,532.99975182"
2016-06-19,244.49,216,250,227.5,205.22620857
2016-06-20,220.02,202,259.99,216.01,"1,745.15276771"
2016-06-21,216.01,216.01,281.08,275,868.09802271
2016-06-22,265,239.94,285,244.03,"1,186.45204345"
2016-06-23,244.94,239.01,265.8,265.8,414.54669382
2016-06-24,265.91,259.01,289.73,280.4,466.69903304
2016-06-25,271,266.95,274.71,273,151.34739822
2016-06-26,267.03,260.51,273.16,266.6,174.07291808
2016-06-27,262,262,272.74,264.5,460.80894416
2016-06-28,264,220.04,266.05,227.86,"1,195.28927169"
2016-06-29,228.07,222.56,243.4,238.31,383.04440117
2016-06-30,234.72,224.31,236.93,224.72,672.94293527
2016-07-01,226.94,215.09,230.1,220,390.27337647
2016-07-02,219,219,225.97,220.8,133.4846467
2016-07-03,222.94,211.77,222.94,221.28,149.20390308
2016-07-04,216.14,210,230,210,652.42794896
2016-07-05,210,167.44,229,203.91,"2,284.9707738"
2016-07-06,205.14,190.01,210.21,190.01,652.40362389
2016-07-07,190.01,185.1,194.25,191.43,422.90117752
2016-07-08,190.42,190.42,218.18,205,511.77744096
2016-07-09,204.15,201,206.16,201,105.88146593
2016-07-10,203.67,200.75,205.48,205.16,52.24809196
2016-07-11,201.01,190.56,201.01,192.03,307.93922423
2016-07-12,196.62,193.26,198.15,194.66,202.35394058
2016-07-13,193.3,192.3,207,203,481.59275748
2016-07-14,203.53,199.01,218.99,218.99,495.25034247
2016-07-15,218.2,217.5,229.32,219.14,321.22955802
2016-07-16,222.66,213.1,223.6,213.1,206.20773422
2016-07-17,208.5,205.92,214.61,214.43,215.04963973
2016-07-18,214.43,206.5,225,209,724.45512036
2016-07-19,211.01,205.61,221.55,219.01,261.22885959
2016-07-20,221,218.67,240,231.05,834.68560658
2016-07-21,233.2,230,250,238.18,"1,080.30848456"
2016-07-22,243,243,298.99,266.98,"2,253.00711242"
2016-07-23,265.01,265,280,267.54,75.20065776
2016-07-24,269.09,220.51,275,249,"2,533.46762422"
2016-07-25,248.45,243.68,259.66,251.32,842.57275312
2016-07-26,256.99,221.03,256.99,233.68,"2,753.30859887"
2016-07-27,228.13,228.13,247.3,241.5,373.50676386
2016-07-28,242.68,233.45,250,237.64,381.73091155
2016-07-29,236.62,235.45,243.72,236.83,260.20341984
2016-07-30,236.83,231,240.64,231,74.25315498
2016-07-31,231,220.52,231.01,222.75,172.13723214
2016-08-01,220.52,198.5,220.52,215.99,802.68487552
2016-08-02,198.17,144.41,201.52,198.1,"3,036.22067419"
2016-08-03,184,173,210,199.36,795.149346
2016-08-04,193,192.72,215,201.8,646.96815172
2016-08-05,201.8,200,211.84,203.5,405.76529329
2016-08-06,203.5,196,205.5,205.5,138.98017137
2016-08-07,205.5,201.99,211.3,204.59,164.48398221
2016-08-08,204,203.03,211,211,168.87450732
2016-08-09,211,210.02,229,210.02,399.12424021
2016-08-10,210.02,203.22,224,212.03,34.93154806
2016-08-11,213.04,210.44,226,215.03,666.19896501
2016-08-12,214.78,214.38,222.7,217.02,75.28658287
2016-08-13,212.64,210.7,216.5,213.59,38.61733176
2016-08-14,211.35,204,211.51,204,141.58694219
2016-08-15,207.07,200.01,220,202.04,276.45954868
2016-08-16,202.05,199,204.31,200.56,248.8623319
2016-08-17,204.08,196.21,204.93,196.24,163.35848149
2016-08-18,199.16,196.3,199.91,197.03,104.63017299
2016-08-19,197.03,190.02,201,200.99,449.86943565
2016-08-20,201,194.11,208.03,194.11,14.20929811
2016-08-21,194.53,194.52,204.49,204.49,49.3531208
2016-08-22,194.54,194.54,210,201.79,287.34809418
2016-08-23,206.18,199.62,206.18,204.23,78.30280368
2016-08-24,204.2,198.11,207.38,205,105.77097089
2016-08-25,205,204.54,210,210,27.59705203
2016-08-26,205.37,203.86,209.95,208,49.93894892
2016-08-27,208,206.57,209.32,206.57,25.9940483
2016-08-28,206.57,202.95,206.57,203.6,65.32332967
2016-08-29,202.76,200.69,207,206.85,234.4714757
2016-08-30,205.2,204.35,210.88,209.94,300.10086581
2016-08-31,206.91,201,219.97,219.97,714.6685285
2016-09-01,215,214,224.94,214,230.5291464
2016-09-02,214,203,221,219.98,413.08675013
2016-09-03,219.96,210.02,219.99,210.02,82.56016496
2016-09-04,210.02,210,216.43,210,17.40170273
2016-09-05,210,206.01,218.5,217.79,123.00490332
2016-09-06,213.11,212,216.79,212,37.82574164
2016-09-07,212.01,212.01,216.38,213.74,71.92516021
2016-09-08,212.03,210,215.19,212.2,489.44532189
2016-09-09,213.32,213.32,219.98,219.55,154.97368306
2016-09-10,218.51,216.88,220,220,467.14971387
2016-09-11,219.99,214.01,220,214.01,220.74434239
2016-09-12,219.02,214.02,221,220.99,227.34093488
2016-09-13,214.02,214.02,224.94,223.99,136.10031384
2016-09-14,218,214.55,232,230,302.11110191
2016-09-15,220.04,218.03,234.26,229.55,226.14706873
2016-09-16,233.5,225.01,250,241.84,385.70105192
2016-09-17,242,225.03,247.36,235.52,35.9770348
2016-09-18,235.02,235.02,250,243.71,61.57011833
2016-09-19,246.4,236.02,265.13,260.39,441.85428947
2016-09-20,264.33,260.62,285,284.43,485.85458765
2016-09-21,277.5,210,277.5,265.01,"1,258.97169395"
2016-09-22,230.14,230.14,261.86,259.45,152.30170565
2016-09-23,244.03,240.12,266.43,241.59,284.64598624
2016-09-24,262.09,241.31,262.09,254.97,105.08544086
2016-09-25,243.05,243.05,260.75,258.73,99.15927742
2016-09-26,255.38,246.35,257.54,248.02,38.36881112
2016-09-27,246.3,242.03,258.17,257.99,163.71698109
2016-09-28,255,250,259.6,258.8,65.64705552
2016-09-29,255,246.18,258.23,246.2,22.45089666
